2023-06-29 14:06:27, INFO: Current git head hash code: %s
2023-06-29 14:06:28, INFO: Using device: cpu
2023-06-29 14:06:28, INFO: Policy: LSTM-RL w/o pairwise interaction module
2023-06-29 14:06:28, INFO: human number: 5
2023-06-29 14:06:28, INFO: Not randomize human's radius and preferred speed
2023-06-29 14:06:28, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-06-29 14:06:28, INFO: Square width: 10.0, circle width: 4.0
2023-06-29 14:06:28, INFO: Current learning rate: 0.010000
2023-06-29 14:23:29, INFO: TRAIN in episode 39 has success rate: 1.00, collision rate: 0.00, nav time: 21.25, total reward: 0.0688
2023-06-29 14:23:32, INFO: TRAIN in episode 40 has success rate: 1.00, collision rate: 0.00, nav time: 18.50, total reward: 0.1462
2023-06-29 14:23:34, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1305
2023-06-29 14:23:35, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1590
2023-06-29 14:23:38, INFO: TRAIN in episode 43 has success rate: 1.00, collision rate: 0.00, nav time: 21.00, total reward: 0.1123
2023-06-29 14:23:41, INFO: TRAIN in episode 44 has success rate: 1.00, collision rate: 0.00, nav time: 17.25, total reward: 0.1222
2023-06-29 14:23:44, INFO: TRAIN in episode 45 has success rate: 1.00, collision rate: 0.00, nav time: 18.25, total reward: 0.1501
2023-06-29 14:23:48, INFO: TRAIN in episode 46 has success rate: 1.00, collision rate: 0.00, nav time: 18.50, total reward: 0.1428
2023-06-29 14:23:51, INFO: TRAIN in episode 47 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1056
2023-06-29 14:23:54, INFO: TRAIN in episode 48 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1144
2023-06-29 14:23:55, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1501
2023-06-29 14:23:57, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1718
2023-06-29 14:23:59, INFO: TRAIN in episode 51 has success rate: 1.00, collision rate: 0.00, nav time: 15.50, total reward: 0.1780
2023-06-29 14:24:03, INFO: TRAIN in episode 52 has success rate: 1.00, collision rate: 0.00, nav time: 19.00, total reward: 0.1387
2023-06-29 14:24:06, INFO: TRAIN in episode 53 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1351
2023-06-29 14:24:08, INFO: TRAIN in episode 54 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1624
2023-06-29 14:24:11, INFO: TRAIN in episode 55 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1529
2023-06-29 14:24:15, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2023-06-29 14:24:16, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1307
2023-06-29 14:24:19, INFO: TRAIN in episode 58 has success rate: 1.00, collision rate: 0.00, nav time: 17.00, total reward: 0.1709
2023-06-29 14:24:22, INFO: TRAIN in episode 59 has success rate: 1.00, collision rate: 0.00, nav time: 18.25, total reward: 0.1185
2023-06-29 14:24:24, INFO: TRAIN in episode 60 has success rate: 1.00, collision rate: 0.00, nav time: 15.50, total reward: 0.1959
2023-06-29 14:24:26, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1383
2023-06-29 14:24:29, INFO: TRAIN in episode 62 has success rate: 1.00, collision rate: 0.00, nav time: 16.00, total reward: 0.1614
2023-06-29 14:24:32, INFO: TRAIN in episode 63 has success rate: 1.00, collision rate: 0.00, nav time: 20.50, total reward: 0.1184
2023-06-29 14:24:34, INFO: TRAIN in episode 64 has success rate: 1.00, collision rate: 0.00, nav time: 18.00, total reward: 0.1541
2023-06-29 14:24:37, INFO: TRAIN in episode 65 has success rate: 1.00, collision rate: 0.00, nav time: 16.75, total reward: 0.1758
2023-06-29 14:24:39, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1944
2023-06-29 14:24:40, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1377
2023-06-29 14:24:44, INFO: TRAIN in episode 68 has success rate: 1.00, collision rate: 0.00, nav time: 19.75, total reward: 0.1142
2023-06-29 14:24:47, INFO: TRAIN in episode 69 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1297
2023-06-29 14:24:50, INFO: TRAIN in episode 70 has success rate: 1.00, collision rate: 0.00, nav time: 19.75, total reward: 0.1282
2023-06-29 14:24:54, INFO: TRAIN in episode 71 has success rate: 1.00, collision rate: 0.00, nav time: 15.00, total reward: 0.2114
